what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1338442171501
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1338442171505
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1338442171506
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1338442171520
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1338442171535
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338442171544
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1338442171564
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338442171573
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1338442171584
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1338442171593
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1338442171596
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1338442171606
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1338442171609
os,sysinfo,,,"win32",1338442171616
arch,sysinfo,,,"x86",1338442171616
ws,sysinfo,,,"win32",1338442171616
locale,sysinfo,,,"en_US",1338442171616
processors,sysinfo,,,"1",1338442171616
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338442171616
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1338442171616
java.specification.name,sysinfo,,,"Java Platform API Specification",1338442171616
java.specification.vendor,sysinfo,,,"Oracle Corporation",1338442171616
java.specification.version,sysinfo,,,"1.7",1338442171616
java.vendor,sysinfo,,,"Oracle Corporation",1338442171616
java.version,sysinfo,,,"1.7.0_04",1338442171616
java.vm.info,sysinfo,,,"mixed mode, sharing",1338442171616
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1338442171616
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338442171616
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1338442171616
java.vm.specification.version,sysinfo,,,"1.7",1338442171616
java.vm.vendor,sysinfo,,,"Oracle Corporation",1338442171616
java.vm.version,sysinfo,,,"23.0-b21",1338442171616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338442181998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338442185103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1338442185122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1338442185123
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1338442188020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338442189479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338442191458
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338442192191
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1338442193202
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1338442193248
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1338442193713
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1338442193726
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1338497238412
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1338497238416
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1338497238418
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1338497238439
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1338497238442
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1338497238452
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1338497238455
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1338497238457
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1338497238471
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1338497238473
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1338497238487
